date,source,medium,campaign,cost,impressions,clicks,users,revenue,conversion_rate,bounce_rate,time_on_site,device_type,browser,satisfaction_score,feedback_score
2023-04-21,referral,organic,chrome_launch_switch,78.84,6715,4174,675,461.49,28%,15%,10m 35s,Mobile,Safari,3,5
2021-10-08,google,organic,referral,56.03,8118,8239,837,78.61,5%,19%,7m 24s,Desktop,Chrome,1,4
2022-06-15,referral,paid,chrome_launch_switch,17.34,6503,2514,386,629.24,15%,24%,6m 40s,Desktop,Safari,4,3
2022-07-16,google,referral,referral,80.53,5846,1812,889,777.84,8%,16%,3m 11s,Mobile,Chrome,4,5
2023-11-16,enterprisemarketingportal,referral,referral,46.73,4288,792,171,368.09,10%,24%,7m 20s,Desktop,Firefox,4,4
2023-09-23,google,paid,organic,13.57,4433,2401,133,40.38,21%,11%,6m 28s,Mobile,Safari,5,4
2021-08-28,brightedge,paid,referral,70.91,2641,3942,744,274.32,18%,23%,4m 14s,Desktop,Safari,3,4
2021-11-20,google,referral,direct,47.42,103,2707,22,984.25,7%,16%,4m 7s,Mobile,Firefox,4,4
2022-09-15,google,none,chrome_launch_switch,48.99,9698,6310,289,623.1,5%,11%,2m 26s,Desktop,Chrome,5,5
2022-03-29,brightedge,organic,direct,52.85,3674,5547,403,767.5,24%,12%,8m 12s,Mobile,Safari,2,3
2023-10-25,brightedge,paid,direct,10.85,5538,5591,221,821.61,23%,23%,1m 24s,Mobile,Chrome,4,4
2023-06-14,enterprisemarketingportal,paid,referral,76.4,7266,125,343,651.03,11%,22%,1m 40s,Desktop,Firefox,5,5
2022-04-09,brightedge,referral,direct,10.47,4381,3148,180,778.5,13%,22%,6m 38s,Mobile,Firefox,3,4
2022-02-07,google,referral,organic,83.69,7268,4041,101,537.05,22%,25%,1m 9s,Desktop,Firefox,3,3
2023-04-24,google,organic,direct,18.12,1616,4806,148,170.82,30%,6%,7m 23s,Desktop,Firefox,3,3
2022-02-13,google,none,organic,23.2,5854,378,151,907.06,8%,20%,2m 25s,Desktop,Firefox,5,3
2023-06-10,google,organic,organic,47.34,5224,2661,731,394.59,5%,14%,9m 20s,Mobile,Chrome,5,4
2023-04-28,brightedge,organic,direct,87.43,3029,5060,820,516.53,21%,6%,9m 44s,Mobile,Chrome,3,5
2021-04-25,enterprisemarketingportal,organic,direct,10.79,6958,1057,903,128.96,25%,24%,3m 56s,Mobile,Safari,5,3
2021-10-22,google,referral,chrome_launch_switch,4.28,9616,3602,96,46.83,30%,20%,7m 2s,Mobile,Chrome,5,5
2021-06-09,referral,none,referral,68.51,9771,2661,563,149.48,24%,9%,3m 58s,Mobile,Chrome,1,4
2022-12-23,brightedge,none,referral,70.4,1825,3329,261,349.7,28%,13%,10m 27s,Mobile,Chrome,4,3
2021-10-27,brightedge,paid,direct,80.33,3927,5115,500,477.88,8%,11%,10m 55s,Mobile,Firefox,2,5
2023-03-20,google,none,organic,9.28,8242,8880,49,368.74,6%,5%,9m 17s,Desktop,Chrome,2,5
2021-08-03,referral,paid,organic,79.57,8811,4881,434,464.67,27%,11%,5m 26s,Desktop,Firefox,2,3
2023-10-12,referral,none,referral,44.26,327,3960,387,976.69,22%,23%,3m 13s,Desktop,Chrome,5,4
2021-12-14,referral,referral,organic,91.87,1215,3828,283,66.73,1%,13%,7m 26s,Desktop,Chrome,4,3
2021-07-18,brightedge,paid,direct,24.83,2507,1888,437,969.08,28%,10%,5m 12s,Mobile,Chrome,1,5
2022-06-23,enterprisemarketingportal,organic,direct,26.07,7927,6044,614,505.52,12%,5%,8m 59s,Desktop,Firefox,3,5
2022-04-23,google,referral,organic,75.43,2398,7893,737,400.94,4%,23%,8m 55s,Desktop,Firefox,3,3
2023-08-16,enterprisemarketingportal,paid,chrome_launch_switch,87.59,6653,2710,157,334.12,9%,19%,3m 42s,Desktop,Firefox,4,4
2021-12-01,enterprisemarketingportal,organic,referral,83.18,3527,2198,5,924.43,27%,14%,4m 31s,Desktop,Chrome,1,3
2023-05-12,brightedge,organic,organic,40.18,2583,7395,699,665.47,14%,14%,5m 19s,Desktop,Safari,4,3
2021-07-23,google,paid,direct,46.49,5719,3348,343,773.33,16%,25%,2m 32s,Mobile,Safari,4,4
2022-10-02,referral,none,direct,29.61,3933,4912,593,6.44,26%,9%,6m 39s,Mobile,Firefox,1,3
2023-06-13,google,none,organic,45.82,7416,6804,639,225.46,8%,13%,6m 39s,Mobile,Chrome,1,5
2023-11-27,brightedge,none,direct,83.48,9661,5443,661,121.96,9%,20%,6m 12s,Desktop,Chrome,1,5
2022-03-20,enterprisemarketingportal,organic,referral,36.87,7130,6313,687,774.94,16%,15%,5m 7s,Mobile,Safari,4,4
2023-12-23,enterprisemarketingportal,organic,direct,47.77,9814,8295,356,906.25,9%,20%,5m 4s,Desktop,Firefox,2,5
2023-02-16,brightedge,organic,referral,57.44,5071,6492,672,620.91,5%,7%,2m 51s,Desktop,Chrome,5,3
2022-10-27,enterprisemarketingportal,paid,referral,9.22,6614,1603,315,193.59,17%,24%,3m 26s,Mobile,Firefox,2,5
2023-05-04,brightedge,organic,direct,6.08,4785,747,485,263.78,17%,7%,5m 37s,Desktop,Firefox,5,5
2023-08-16,referral,organic,direct,81.58,856,348,612,932.9,9%,24%,2m 48s,Mobile,Chrome,3,4
2021-02-21,google,none,organic,42.03,7296,4992,815,517.53,11%,18%,8m 4s,Desktop,Chrome,5,5
2023-05-01,enterprisemarketingportal,referral,referral,75.93,9783,3597,169,975.08,6%,5%,9m 31s,Mobile,Firefox,1,5
2022-04-12,google,none,chrome_launch_switch,14.02,9647,5397,276,204.62,13%,19%,9m 31s,Mobile,Safari,5,4
2021-09-15,enterprisemarketingportal,organic,referral,18.49,9989,2052,147,241.27,5%,7%,9m 41s,Desktop,Firefox,4,4
2023-01-14,referral,referral,chrome_launch_switch,99.24,1717,532,91,951.62,12%,24%,4m 25s,Mobile,Safari,3,3
2023-07-29,referral,referral,chrome_launch_switch,4.47,1730,6735,111,94.53,4%,12%,2m 31s,Desktop,Firefox,3,5
2022-12-19,referral,none,direct,83.71,7592,1219,210,814.13,14%,9%,8m 2s,Mobile,Chrome,4,4
2023-12-25,brightedge,referral,direct,20.25,4539,7886,899,599.05,13%,15%,7m 49s,Desktop,Chrome,2,4
2023-03-18,brightedge,referral,organic,89.05,9270,3940,292,484.69,21%,25%,3m 1s,Mobile,Safari,2,4
2023-06-01,referral,organic,direct,15.3,5839,3258,132,999.28,21%,22%,9m 28s,Desktop,Safari,5,4
2023-07-05,brightedge,none,direct,4.53,1019,5330,100,744.35,7%,5%,6m 34s,Desktop,Chrome,4,4
2022-11-20,referral,paid,chrome_launch_switch,4.37,4990,8448,832,4.96,4%,16%,2m 53s,Mobile,Safari,3,5
2023-05-18,enterprisemarketingportal,organic,organic,39.29,9950,5032,14,767.31,19%,18%,3m 53s,Desktop,Safari,4,3
2023-08-23,brightedge,none,organic,77.54,3785,6823,627,531.14,22%,16%,5m 37s,Desktop,Safari,1,4
2021-11-17,google,paid,direct,94.76,4407,1545,953,444.06,12%,20%,1m 29s,Mobile,Firefox,2,3
2023-02-09,enterprisemarketingportal,none,referral,24.1,241,8182,718,903.76,14%,20%,2m 26s,Mobile,Firefox,5,3
2021-02-17,google,referral,referral,63.19,9640,7341,44,250.34,14%,6%,9m 29s,Mobile,Safari,5,3
2021-12-04,referral,paid,chrome_launch_switch,80.58,5108,8704,901,776.81,14%,6%,8m 49s,Desktop,Firefox,4,5
2023-06-29,google,organic,direct,34.03,8555,427,101,641.56,28%,23%,1m 9s,Mobile,Safari,5,5
2021-02-10,google,referral,organic,76.51,2454,5534,772,814.62,27%,16%,2m 46s,Desktop,Safari,1,5
2022-11-01,brightedge,paid,referral,33.94,8493,6439,464,53.87,1%,7%,9m 11s,Mobile,Firefox,4,5
2022-04-26,brightedge,paid,referral,26.26,9733,2699,305,463.79,10%,8%,7m 55s,Desktop,Safari,1,4
2022-04-16,referral,paid,referral,23.34,6580,2632,110,251.7,18%,16%,6m 4s,Mobile,Safari,4,4
2023-07-10,referral,none,organic,20.95,9736,73,342,694.95,22%,6%,3m 6s,Desktop,Safari,4,4
2021-12-29,referral,organic,organic,34.25,2106,8716,803,399.84,29%,16%,2m 23s,Mobile,Safari,5,3
2022-01-09,google,paid,organic,23.23,6905,6953,814,276.75,23%,18%,3m 59s,Desktop,Chrome,2,5
2021-10-29,brightedge,organic,chrome_launch_switch,6.52,6159,4434,517,959.83,16%,17%,4m 27s,Mobile,Firefox,4,5
2022-04-09,referral,organic,referral,84.57,8430,4316,673,275.12,23%,13%,2m 7s,Mobile,Firefox,4,5
2022-02-19,referral,paid,referral,74.91,5345,4613,367,401.01,15%,11%,6m 44s,Mobile,Chrome,4,3
2021-05-14,brightedge,paid,direct,30.33,8650,7557,223,611.88,25%,9%,1m 56s,Mobile,Chrome,5,5
2023-10-19,brightedge,none,referral,78.01,6503,1838,891,955.41,9%,12%,1m 34s,Desktop,Safari,5,4
2022-04-04,enterprisemarketingportal,referral,chrome_launch_switch,12.69,7241,1739,503,815.42,19%,6%,4m 37s,Mobile,Chrome,3,4
2023-09-03,google,paid,direct,67.41,2688,987,69,198.51,27%,5%,1m 9s,Desktop,Firefox,5,4
2022-11-24,enterprisemarketingportal,referral,direct,92.7,3958,7562,467,216.51,26%,5%,5m 9s,Mobile,Chrome,2,3
2022-02-10,referral,none,organic,4.08,477,1629,342,478.5,2%,11%,8m 56s,Mobile,Firefox,1,4
2021-08-18,enterprisemarketingportal,organic,direct,22.81,249,2555,381,983.68,29%,18%,10m 23s,Mobile,Firefox,2,3
2021-07-06,enterprisemarketingportal,none,direct,80.98,3831,3695,646,134.93,8%,12%,5m 19s,Mobile,Firefox,1,3
2021-11-02,referral,organic,direct,41.0,5007,1149,237,154.66,13%,5%,6m 28s,Mobile,Firefox,1,5
2021-01-24,referral,organic,referral,53.25,6694,2711,332,305.07,14%,10%,1m 58s,Mobile,Chrome,2,3
2021-04-08,google,none,referral,31.88,7718,2114,553,512.16,14%,23%,1m 15s,Desktop,Chrome,4,3
2023-05-15,referral,organic,direct,17.36,5263,3781,847,137.62,30%,13%,2m 9s,Desktop,Safari,2,5
2022-11-01,brightedge,paid,direct,43.33,5062,1818,115,846.01,27%,5%,5m 32s,Desktop,Safari,4,3
2022-03-07,referral,organic,organic,24.89,1758,1570,595,854.45,27%,24%,1m 52s,Desktop,Firefox,3,4
2023-11-30,enterprisemarketingportal,organic,chrome_launch_switch,22.35,543,8197,328,874.16,10%,9%,10m 48s,Desktop,Chrome,1,5
2023-09-21,enterprisemarketingportal,none,chrome_launch_switch,91.78,4614,7419,95,508.98,28%,13%,2m 3s,Mobile,Chrome,3,5
2023-10-26,google,none,direct,50.83,1695,7707,270,539.46,10%,9%,9m 3s,Desktop,Firefox,5,3
2022-05-22,google,referral,organic,25.96,1680,5266,830,719.6,5%,24%,6m 5s,Desktop,Safari,3,3
2021-12-03,referral,organic,direct,55.27,2433,2802,549,570.91,21%,11%,10m 59s,Mobile,Safari,1,4
2021-04-30,referral,paid,chrome_launch_switch,43.42,7101,7716,956,85.58,3%,19%,5m 20s,Mobile,Safari,1,3
2021-12-05,enterprisemarketingportal,organic,referral,78.88,6205,8412,770,534.84,10%,18%,10m 5s,Mobile,Firefox,4,5
2022-12-14,brightedge,referral,chrome_launch_switch,70.04,7936,7972,699,353.25,4%,23%,5m 13s,Desktop,Safari,4,4
2022-05-09,referral,referral,referral,10.03,8436,1004,712,914.91,19%,17%,2m 37s,Desktop,Safari,4,5
2021-12-23,brightedge,none,direct,23.81,1153,1602,663,555.84,4%,9%,3m 34s,Desktop,Safari,1,3
2022-05-01,enterprisemarketingportal,none,chrome_launch_switch,24.2,3785,5879,868,728.45,15%,8%,7m 14s,Mobile,Firefox,2,3
2022-07-28,enterprisemarketingportal,referral,organic,71.26,7222,4696,377,2.64,10%,18%,5m 46s,Mobile,Firefox,1,4
2023-10-19,enterprisemarketingportal,none,referral,54.21,1251,1081,146,901.57,6%,8%,4m 42s,Desktop,Safari,1,4
2021-05-23,brightedge,organic,direct,48.64,9600,4945,614,759.27,16%,8%,7m 9s,Mobile,Chrome,4,5
2021-09-07,google,referral,referral,98.83,8862,6710,696,6.9,2%,7%,1m 38s,Mobile,Safari,1,5
2022-04-28,enterprisemarketingportal,referral,chrome_launch_switch,95.06,3039,748,362,705.3,1%,11%,1m 36s,Mobile,Chrome,4,4
2021-10-15,enterprisemarketingportal,referral,organic,15.91,5775,1684,115,20.01,19%,17%,6m 28s,Desktop,Safari,5,3
2021-02-04,referral,referral,direct,88.48,3706,2553,398,270.26,5%,22%,4m 30s,Desktop,Safari,4,4
2023-11-07,google,referral,chrome_launch_switch,21.71,1509,4037,499,91.18,12%,18%,7m 56s,Mobile,Safari,5,3
2022-05-17,google,paid,chrome_launch_switch,4.42,7195,7402,934,349.63,16%,9%,1m 30s,Desktop,Chrome,3,3
2021-11-23,brightedge,organic,organic,27.75,1110,2304,93,162.76,28%,19%,6m 48s,Mobile,Firefox,1,3
2023-07-11,referral,organic,chrome_launch_switch,68.28,3619,4343,50,929.41,22%,24%,5m 24s,Desktop,Safari,1,3
2021-12-07,brightedge,paid,referral,34.72,580,4364,643,729.66,22%,12%,9m 24s,Mobile,Chrome,3,5
2022-09-29,referral,referral,organic,59.83,8842,5376,517,827.69,19%,24%,5m 19s,Desktop,Firefox,1,5
2023-09-11,google,organic,direct,70.34,4739,787,418,739.95,13%,12%,10m 7s,Desktop,Safari,2,3
2022-01-31,brightedge,organic,referral,12.95,3366,8306,412,162.44,4%,9%,7m 20s,Desktop,Chrome,2,4
2021-06-01,google,organic,direct,45.39,3057,4601,889,618.32,24%,19%,3m 47s,Desktop,Safari,1,3
2022-10-07,referral,organic,chrome_launch_switch,60.44,8057,341,786,321.93,26%,22%,9m 44s,Mobile,Firefox,3,4
2023-05-19,google,paid,referral,69.74,7275,1845,813,386.34,3%,22%,3m 58s,Desktop,Firefox,5,5
2022-02-25,enterprisemarketingportal,none,chrome_launch_switch,59.71,2767,1525,502,351.45,10%,5%,7m 41s,Mobile,Safari,3,4
2021-05-25,google,none,direct,19.32,8431,7279,875,276.02,14%,8%,9m 54s,Mobile,Safari,4,5
2023-04-16,google,none,organic,34.45,9936,2984,462,791.07,15%,21%,10m 14s,Mobile,Safari,3,3
2022-05-16,referral,referral,organic,78.42,6093,5495,364,999.68,12%,15%,2m 16s,Desktop,Chrome,1,5
2021-09-02,brightedge,referral,chrome_launch_switch,46.91,6264,3529,824,141.22,17%,13%,4m 45s,Mobile,Firefox,3,5
2021-05-12,referral,organic,referral,79.52,7670,7879,525,937.72,10%,9%,10m 7s,Desktop,Safari,3,5
2021-06-16,enterprisemarketingportal,referral,referral,58.34,9659,8367,983,660.17,23%,17%,8m 2s,Desktop,Chrome,1,3
2022-12-25,google,organic,direct,31.21,4096,903,933,629.4,21%,8%,4m 25s,Mobile,Firefox,1,4
2022-04-22,referral,referral,organic,8.88,8751,7956,273,116.14,7%,25%,8m 30s,Mobile,Firefox,5,3
2022-02-03,referral,none,chrome_launch_switch,38.5,3957,8655,575,481.28,15%,15%,5m 15s,Desktop,Chrome,5,5
2022-07-01,referral,none,referral,27.46,690,6710,189,811.4,1%,7%,5m 33s,Desktop,Safari,2,4
2023-03-07,referral,paid,organic,21.01,6763,4422,548,785.59,10%,11%,9m 8s,Mobile,Safari,2,3
2022-11-06,enterprisemarketingportal,none,organic,76.26,3564,1368,345,973.4,25%,24%,1m 55s,Mobile,Chrome,5,5
2021-07-21,brightedge,referral,organic,96.7,6020,8049,908,552.14,13%,9%,9m 16s,Desktop,Safari,5,3
2021-05-23,google,referral,chrome_launch_switch,13.77,4076,6586,867,200.88,22%,20%,3m 47s,Mobile,Firefox,2,4
2023-02-13,google,none,chrome_launch_switch,64.18,684,592,340,741.98,14%,11%,2m 4s,Mobile,Firefox,2,5
2021-06-23,referral,paid,chrome_launch_switch,30.66,7688,3711,397,782.49,5%,24%,9m 31s,Desktop,Firefox,1,3
2022-02-03,referral,referral,referral,79.04,8272,7189,570,272.06,23%,8%,1m 21s,Desktop,Chrome,4,3
2021-12-13,referral,organic,chrome_launch_switch,18.53,7331,4454,321,327.33,24%,6%,5m 30s,Mobile,Firefox,1,4
2021-01-24,brightedge,referral,chrome_launch_switch,42.26,8161,1073,224,680.22,11%,14%,1m 15s,Desktop,Safari,4,4
2021-08-21,enterprisemarketingportal,organic,direct,38.32,6644,4346,404,611.45,6%,19%,4m 29s,Mobile,Firefox,1,4
2023-09-02,enterprisemarketingportal,referral,referral,2.97,484,465,965,862.75,3%,11%,9m 2s,Desktop,Safari,1,5
2022-07-28,brightedge,none,direct,90.07,4526,4598,622,758.84,29%,20%,9m 10s,Mobile,Safari,2,3
2023-07-06,enterprisemarketingportal,paid,referral,37.18,3429,1872,163,466.77,16%,20%,6m 51s,Desktop,Firefox,5,4
2021-12-26,enterprisemarketingportal,none,referral,25.37,9654,4239,502,803.49,1%,10%,4m 6s,Desktop,Firefox,4,5
2023-08-23,brightedge,organic,chrome_launch_switch,37.6,7140,7626,135,116.83,6%,5%,9m 11s,Mobile,Safari,3,5
2023-07-26,enterprisemarketingportal,paid,direct,35.82,7167,1776,140,986.98,9%,18%,1m 35s,Desktop,Firefox,1,3
2022-08-28,brightedge,paid,organic,74.54,7210,8240,861,528.65,9%,9%,1m 15s,Mobile,Firefox,1,4
2021-08-27,google,organic,organic,65.07,6668,1862,483,793.95,26%,8%,5m 55s,Mobile,Firefox,2,5
2023-04-07,enterprisemarketingportal,organic,organic,48.51,7429,2521,217,922.74,24%,18%,3m 54s,Desktop,Firefox,4,5
2022-08-05,referral,referral,organic,64.78,1213,3766,970,974.06,19%,10%,9m 43s,Desktop,Chrome,3,3
2021-12-15,google,organic,organic,58.2,5368,5614,926,551.07,15%,9%,8m 13s,Desktop,Safari,2,4
2021-05-02,enterprisemarketingportal,organic,referral,63.24,2981,2631,114,876.13,25%,23%,6m 54s,Mobile,Safari,5,5
2023-03-10,google,none,organic,51.38,7292,1603,372,292.55,27%,22%,9m 15s,Mobile,Safari,2,4
2022-02-06,google,none,direct,12.18,2709,4187,262,429.73,22%,19%,8m 1s,Mobile,Safari,3,5
2021-06-05,referral,referral,referral,16.73,4964,6624,889,859.25,30%,22%,3m 55s,Desktop,Firefox,2,5
2022-09-02,enterprisemarketingportal,referral,referral,55.5,3852,1672,734,848.29,3%,14%,2m 15s,Mobile,Chrome,1,5
2022-10-17,enterprisemarketingportal,referral,direct,54.14,6228,6508,436,814.5,24%,18%,6m 47s,Mobile,Firefox,3,3
2021-11-02,enterprisemarketingportal,organic,chrome_launch_switch,44.83,3805,2388,488,452.31,21%,9%,2m 21s,Desktop,Chrome,5,5
2022-10-08,referral,referral,referral,17.79,317,725,708,779.14,27%,10%,3m 48s,Mobile,Chrome,2,4
2022-06-27,brightedge,organic,organic,25.09,4427,1110,104,226.6,28%,10%,1m 48s,Desktop,Chrome,3,4
2021-06-17,enterprisemarketingportal,none,organic,35.14,4326,3943,40,740.36,6%,20%,3m 35s,Desktop,Chrome,5,4
2022-12-16,enterprisemarketingportal,organic,referral,19.57,5463,8444,290,411.59,15%,25%,10m 21s,Mobile,Chrome,4,3
2022-04-22,google,organic,chrome_launch_switch,78.7,670,6404,591,214.63,5%,18%,5m 3s,Mobile,Safari,3,3
2022-12-27,brightedge,organic,chrome_launch_switch,48.05,7215,2832,177,165.81,21%,22%,9m 58s,Desktop,Firefox,1,3
2023-09-28,referral,none,organic,6.14,8926,5541,774,71.54,3%,17%,9m 8s,Desktop,Firefox,5,5
2022-06-16,brightedge,none,direct,26.92,9003,8001,617,4.84,11%,17%,10m 12s,Desktop,Chrome,1,5
2022-01-22,google,organic,referral,53.36,5176,4343,402,639.78,12%,14%,9m 57s,Mobile,Firefox,1,4
2024-01-05,brightedge,paid,organic,63.04,6249,2733,569,67.11,5%,5%,6m 4s,Mobile,Chrome,1,4
2023-03-10,google,none,organic,30.65,2424,1445,931,348.48,1%,16%,9m 44s,Mobile,Safari,1,3
2023-09-28,brightedge,referral,direct,23.5,4783,7579,63,406.34,27%,22%,3m 29s,Desktop,Firefox,1,4
2023-04-19,google,none,direct,65.71,5776,3639,168,284.16,28%,9%,2m 57s,Desktop,Chrome,2,5
2023-01-24,brightedge,none,organic,6.46,4762,5288,677,390.28,7%,24%,8m 40s,Mobile,Firefox,1,4
2023-02-12,enterprisemarketingportal,organic,organic,74.26,2162,256,427,113.51,12%,15%,10m 42s,Mobile,Chrome,4,4
2022-08-09,google,organic,organic,92.7,7752,4325,209,817.37,3%,12%,7m 3s,Mobile,Chrome,3,3
2022-11-20,referral,referral,referral,8.63,3907,3662,288,306.28,28%,13%,2m 17s,Desktop,Safari,4,4
2022-10-04,google,none,chrome_launch_switch,82.65,7408,8428,188,318.89,6%,14%,10m 18s,Desktop,Chrome,2,5
2021-07-04,referral,referral,organic,60.88,5133,347,668,132.76,13%,20%,9m 17s,Mobile,Safari,2,4
2022-01-08,enterprisemarketingportal,none,organic,49.48,1437,4806,604,303.85,18%,12%,5m 19s,Mobile,Safari,1,5
2022-01-20,referral,paid,chrome_launch_switch,54.87,2438,240,274,947.16,28%,21%,5m 40s,Desktop,Safari,3,4
2023-11-26,referral,referral,referral,21.83,2246,4412,505,916.99,17%,7%,9m 39s,Mobile,Firefox,4,4
2022-02-27,referral,paid,chrome_launch_switch,97.67,3145,5344,229,150.71,15%,11%,5m 2s,Mobile,Firefox,1,5
2021-11-23,enterprisemarketingportal,none,organic,65.61,8317,3864,415,154.66,24%,15%,4m 25s,Mobile,Chrome,4,5
2023-01-17,enterprisemarketingportal,none,organic,14.79,4583,5734,117,26.47,26%,18%,8m 56s,Desktop,Firefox,1,4
2023-01-20,referral,referral,direct,99.51,6879,4161,541,303.61,21%,13%,1m 19s,Mobile,Firefox,4,3
2023-10-27,brightedge,referral,chrome_launch_switch,54.9,8381,5843,874,443.64,7%,6%,7m 52s,Desktop,Firefox,1,3
2022-11-17,referral,paid,direct,99.87,6226,7305,462,71.07,27%,13%,6m 8s,Mobile,Firefox,5,3
2021-11-15,google,none,direct,10.84,3963,6810,665,191.94,20%,15%,3m 48s,Mobile,Chrome,5,3
2023-12-04,referral,referral,referral,40.55,5066,7570,902,426.3,24%,25%,9m 38s,Mobile,Firefox,1,4
2021-07-29,enterprisemarketingportal,organic,direct,69.6,884,1444,760,208.81,24%,17%,6m 35s,Mobile,Firefox,4,4
2022-10-25,brightedge,none,direct,19.99,8193,8325,973,431.49,23%,16%,4m 36s,Mobile,Chrome,3,5
2022-12-19,enterprisemarketingportal,referral,direct,90.31,2188,6700,640,747.28,15%,6%,6m 19s,Mobile,Firefox,1,4
2022-03-17,enterprisemarketingportal,organic,direct,70.59,6365,2226,440,118.15,25%,17%,3m 1s,Desktop,Firefox,1,3
2023-09-23,referral,paid,chrome_launch_switch,35.5,6918,3218,63,379.16,5%,20%,6m 12s,Mobile,Firefox,2,3
2022-06-04,referral,none,referral,9.16,7924,341,994,913.92,22%,16%,2m 57s,Desktop,Safari,2,3
2022-06-14,enterprisemarketingportal,referral,referral,65.32,9651,1823,208,195.52,26%,20%,6m 35s,Mobile,Firefox,5,4
2023-05-11,brightedge,none,chrome_launch_switch,27.46,457,8402,479,184.04,28%,22%,2m 24s,Mobile,Chrome,5,3
2024-01-09,google,referral,direct,18.0,6520,413,140,123.36,5%,7%,7m 37s,Desktop,Firefox,3,5
2023-09-03,google,referral,organic,79.2,9254,3552,977,117.33,15%,25%,7m 58s,Desktop,Chrome,2,4
2023-07-29,brightedge,paid,organic,48.67,8440,4965,457,464.7,6%,23%,10m 53s,Desktop,Firefox,3,3
2021-09-02,brightedge,organic,chrome_launch_switch,84.34,1845,3354,56,290.8,14%,14%,4m 48s,Desktop,Safari,1,3
2023-09-27,brightedge,none,direct,5.45,1785,1866,272,411.8,5%,14%,2m 44s,Desktop,Safari,2,5
2022-11-29,enterprisemarketingportal,none,chrome_launch_switch,5.02,72,2615,668,176.73,30%,16%,1m 58s,Desktop,Firefox,1,4
2021-03-24,referral,none,direct,24.37,1755,2516,483,787.33,21%,11%,4m 14s,Mobile,Safari,4,4
2023-02-12,google,paid,chrome_launch_switch,34.78,6128,5059,797,607.41,4%,13%,4m 53s,Mobile,Safari,4,3
2023-08-15,enterprisemarketingportal,paid,organic,36.38,1947,8530,89,811.11,2%,20%,7m 40s,Mobile,Chrome,2,4
2021-10-13,referral,paid,direct,95.24,2275,8248,823,536.61,9%,18%,4m 37s,Desktop,Chrome,1,4
2021-11-06,brightedge,none,direct,62.6,6871,5326,198,563.93,12%,7%,9m 46s,Mobile,Safari,5,3
2023-11-01,enterprisemarketingportal,paid,referral,97.3,2430,5169,87,420.29,29%,10%,3m 5s,Mobile,Firefox,3,4
2021-05-16,enterprisemarketingportal,organic,direct,41.56,7912,8336,453,536.7,18%,19%,2m 23s,Mobile,Firefox,1,4
2022-08-30,referral,organic,direct,72.51,4865,6312,481,977.1,3%,17%,3m 37s,Desktop,Safari,4,3
2023-11-22,brightedge,none,chrome_launch_switch,12.04,1160,1368,903,390.02,17%,25%,7m 57s,Mobile,Safari,4,5
2022-07-18,referral,referral,referral,98.39,9648,5700,271,124.85,14%,23%,10m 54s,Desktop,Firefox,4,5
2023-12-27,enterprisemarketingportal,referral,direct,54.12,5279,6188,380,359.34,29%,23%,10m 54s,Desktop,Chrome,4,4
2022-12-29,brightedge,organic,referral,69.02,22,5918,647,240.28,8%,7%,10m 1s,Desktop,Firefox,4,4
2022-07-16,brightedge,none,referral,36.84,2270,4236,958,378.79,9%,13%,8m 41s,Mobile,Firefox,2,3
2023-03-25,enterprisemarketingportal,referral,chrome_launch_switch,10.02,3711,2218,339,25.49,12%,17%,6m 59s,Mobile,Chrome,3,3
2021-07-01,referral,referral,direct,89.51,3081,6881,189,919.52,19%,22%,10m 18s,Desktop,Firefox,2,4
2022-06-02,brightedge,organic,referral,43.78,3727,7841,140,848.69,1%,20%,5m 43s,Desktop,Safari,2,3
2023-05-06,enterprisemarketingportal,none,chrome_launch_switch,83.05,9974,532,155,980.43,14%,5%,3m 36s,Mobile,Chrome,5,3
2022-06-01,google,referral,chrome_launch_switch,64.02,7121,5418,932,500.5,3%,5%,10m 40s,Desktop,Chrome,3,4
2021-02-01,referral,organic,organic,73.6,5721,5329,630,972.06,18%,12%,8m 54s,Mobile,Chrome,1,3
2023-12-18,referral,referral,referral,96.7,3313,3495,416,386.58,25%,13%,4m 25s,Desktop,Chrome,1,3
2023-03-08,referral,referral,referral,38.05,6710,5904,829,81.47,22%,24%,4m 24s,Mobile,Chrome,2,3
2023-03-04,enterprisemarketingportal,none,chrome_launch_switch,74.79,881,6345,345,489.55,6%,24%,6m 6s,Desktop,Firefox,3,5
2021-06-09,brightedge,referral,organic,99.76,2290,3048,723,626.55,22%,9%,7m 47s,Desktop,Chrome,2,5
2021-03-08,referral,paid,chrome_launch_switch,8.35,1876,1629,163,283.27,10%,22%,3m 29s,Desktop,Chrome,5,3
2022-02-10,referral,referral,organic,37.6,8095,2008,412,56.39,15%,13%,1m 39s,Mobile,Firefox,2,4
2024-01-17,brightedge,none,direct,67.41,5408,5817,162,378.38,19%,16%,9m 23s,Desktop,Chrome,3,5
2022-01-02,enterprisemarketingportal,none,organic,46.79,8970,5069,218,162.58,24%,17%,4m 29s,Desktop,Safari,4,3
2022-06-03,brightedge,organic,chrome_launch_switch,39.48,8127,7681,935,619.97,27%,20%,2m 55s,Desktop,Chrome,1,5
2021-02-04,enterprisemarketingportal,paid,direct,59.82,5335,7920,699,765.91,21%,16%,6m 36s,Desktop,Firefox,1,5
